Movie Name,Release Date,Genre,Runtime,Story,IMDb Rating,Vote Count,Director,Actors,Movie URL
12th Fail,2023-10-27,"Biography, Drama",2h 27m,The real-life story of IPS Officer Manoj Kumar Sharma and IRS Officer Shraddha Joshi.,8.7,175243,Vidhu Vinod Chopra,"Vikrant Massey, Harish Khanna, Geeta Agrawal Sharma",https://www.imdb.com/title/tt23849204/
Gol Maal,1979-04-20,"Comedy, Romance",2h 0m,A man's simple lie to secure his job escalates into more complex lies when his orthodox boss gets suspicious.,8.5,22212,Hrishikesh Mukherjee,"Amol Palekar, Utpal Dutt, Bindiya Goswami",https://www.imdb.com/title/tt0079221/
Nayakan,1987-10-21,"Crime, Drama",2h 25m,"A common man's struggles against a corrupt police force put him on the wrong side of the law. He becomes a don, who is loved and respected by many, but his growing power and influence exact a heavy toll.",8.6,28064,Mani Ratnam,"Kamal Haasan, Saranya Ponvannan, Delhi Ganesh",https://www.imdb.com/title/tt0093603/
Anbe Sivam,2003-01-14,"Adventure, Comedy, Drama",2h 40m,"Two men, one young and arrogant, the other damaged - physically but not spiritually - by life, are thrown together by circumstances, and find that they are in some ways bound together by fate.",8.6,28465,Sundar C.,"Kamal Haasan, Madhavan, Kiran Rathod",https://www.imdb.com/title/tt0367495/
#Home,2021-08-19,"Drama, Family",2h 38m,"Oliver Twist (Indrans) wants to be tech-savvy and become a better companion to his two sons, who spend more time on their phones than with their loved ones.",8.7,19965,Rojin Thomas,"Indrans, Sreenath Bhasi, Manju Pillai",https://www.imdb.com/title/tt10534500/
Apur Sansar,1960-10-04,Drama,1h 45m,An orphaned young man in India pursues his dream of becoming a writer while navigating life's challenges and personal growth.,8.4,20475,Satyajit Ray,"Soumitra Chatterjee, Sharmila Tagore, Alok Chakravarty",https://www.imdb.com/title/tt0052572/
3 Idiots,2009-12-25,"Comedy, Drama",2h 50m,"Two friends search for a brilliant, free-spirited classmate whose unconventional approach to engineering school changed their lives and challenged a rigid education system.",8.4,486986,Rajkumar Hirani,"Aamir Khan, Madhavan, Mona Singh",https://www.imdb.com/title/tt1187043/
Manichitrathazhu,1993-12-24,"Comedy, Horror, Mystery",2h 49m,"When a forbidden room in an old bungalow is unbolted, the spirit of a vengeful dancer is unleashed.",8.7,14533,Fazil,"Mohanlal, Shobana, Suresh Gopi",https://www.imdb.com/title/tt0214915/
Sandesham,1991-10-30,"Comedy, Drama",2h 18m,"A satire on contemporary Kerala politics where brothers turn local leaders of rival parties, leading to distress for their aged and once-proud parents.",9.0,6511,Sathyan Anthikad,"Thilakan, Sreenivasan, Jayaram",https://www.imdb.com/title/tt0353975/
Kireedam,1989-07-07,"Action, Drama",2h 4m,The life of a young man turns upside down when he intervenes in a dispute in order to rescue his father (a cop) from a ruthless local outlaw.,8.9,9881,Sibi Malayil,"Mohanlal, Thilakan, Kaviyoor Ponnamma",https://www.imdb.com/title/tt0237376/
